Vardas         Pavarde        ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas5374     Pavarde5374    4      0      4      8      4      7      4      5      5      3      5      1      3      2      10     8      
Vardas5375     Pavarde5375    10     1      6      8      1      3      7      7      1      0      0      8      7      7      3      1      
Vardas5376     Pavarde5376    4      8      7      6      1      6      3      0      10     1      8      1      6      5      9      9      
Vardas5377     Pavarde5377    0      3      2      6      7      2      7      5      9      3      8      2      6      10     8      5      
Vardas5378     Pavarde5378    2      6      5      3      9      5      8      4      0      8      2      6      10     1      7      6      
Vardas5379     Pavarde5379    9      4      5      0      1      7      10     6      8      1      7      1      9      10     0      3      
Vardas5380     Pavarde5380    6      1      5      1      2      3      3      3      2      8      1      7      0      3      5      3      
Vardas5381     Pavarde5381    7      2      6      2      5      1      4      5      5      8      10     3      6      5      1      8      
Vardas5382     Pavarde5382    2      1      3      10     5      10     8      4      0      1      7      1      1      9      10     5      
Vardas5383     Pavarde5383    5      8      7      4      1      2      5      1      0      2      0      3      10     7      9      8      
Vardas5384     Pavarde5384    7      7      5      9      3      1      7      4      2      10     5      8      5      10     0      8      
Vardas5385     Pavarde5385    1      7      5      6      4      0      1      6      2      10     10     4      4      0      0      2      
Vardas5386     Pavarde5386    2      5      0      7      3      2      1      9      9      8      7      3      8      6      10     7      
Vardas5387     Pavarde5387    2      6      6      3      6      7      4      0      2      8      7      10     2      6      3      3      
Vardas5388     Pavarde5388    3      8      2      6      9      9      1      7      5      7      6      7      5      10     5      4      
Vardas5389     Pavarde5389    10     3      6      7      10     6      8      0      0      0      2      10     6      10     4      0      
Vardas5390     Pavarde5390    6      1      1      0      10     4      1      6      2      6      5      8      9      7      10     8      
Vardas5391     Pavarde5391    0      10     4      3      5      5      4      1      8      9      6      3      9      7      10     8      
Vardas5392     Pavarde5392    9      3      8      0      10     3      8      8      7      1      9      7      3      4      4      9      
Vardas5393     Pavarde5393    7      9      0      6      1      0      10     3      3      7      3      2      9      8      0      9      
Vardas5394     Pavarde5394    9      6      8      6      6      5      0      9      7      0      5      5      8      3      2      10     
Vardas5395     Pavarde5395    1      1      1      4      5      0      1      0      8      4      9      9      8      6      9      7      
Vardas5396     Pavarde5396    0      9      10     7      3      6      3      10     4      9      1      2      8      6      3      9      
Vardas5397     Pavarde5397    6      4      2      10     2      7      5      10     10     7      3      6      0      6      7      9      
Vardas5398     Pavarde5398    7      5      5      6      0      3      1      4      9      0      1      8      1      9      1      9      
Vardas5399     Pavarde5399    4      8      4      4      4      2      1      10     4      9      6      6      4      1      1      7      
Vardas5400     Pavarde5400    10     0      5      6      3      4      2      3      5      6      1      2      10     1      7      2      
Vardas5401     Pavarde5401    0      10     7      5      6      8      1      6      6      10     5      8      5      0      1      1      
Vardas5402     Pavarde5402    7      3      4      6      5      3      2      2      8      7      7      6      5      1      1      9      
Vardas5403     Pavarde5403    4      9      9      9      6      3      5      5      10     1      8      10     10     4      0      3      
Vardas5404     Pavarde5404    1      8      5      5      8      3      0      8      9      2      10     10     3      4      5      1      
Vardas5405     Pavarde5405    4      4      0      4      0      1      4      6      8      1      0      6      1      8      4      3      
Vardas5406     Pavarde5406    0      1      1      7      9      9      7      7      3      9      9      1      8      10     6      3      
Vardas5407     Pavarde5407    10     10     6      6      9      2      3      1      7      5      8      0      8      5      2      2      
Vardas5408     Pavarde5408    10     8      8      1      4      1      4      5      7      4      0      0      8      3      2      3      
Vardas5409     Pavarde5409    0      3      3      9      10     9      10     7      7      1      1      2      5      6      4      5      
Vardas5410     Pavarde5410    9      9      4      10     0      8      10     5      0      3      10     9      5      3      2      5      
Vardas5411     Pavarde5411    4      2      3      5      1      1      7      4      9      3      4      6      5      0      10     5      
Vardas5412     Pavarde5412    3      5      9      1      4      1      4      3      4      5      3      2      0      2      0      4      
Vardas5413     Pavarde5413    10     3      10     3      1      3      9      9      3      1      4      0      6      9      1      6      
Vardas5414     Pavarde5414    8      5      0      0      7      8      4      10     2      10     7      5      6      8      7      0      
Vardas5415     Pavarde5415    7      9      2      7      5      3      6      9      4      4      7      2      2      7      10     1      
Vardas5416     Pavarde5416    5      2      7      2      5      10     6      8      9      5      9      3      4      8      10     7      
Vardas5417     Pavarde5417    1      8      2      1      10     8      7      0      6      3      2      9      3      9      2      3      
Vardas5418     Pavarde5418    9      6      7      3      0      0      0      5      5      2      6      1      0      4      1      7      
Vardas5419     Pavarde5419    10     10     5      10     7      5      1      0      4      6      0      9      8      2      4      4      
Vardas5420     Pavarde5420    3      2      10     7      4      10     8      2      2      8      6      4      2      8      10     7      
Vardas5421     Pavarde5421    3      2      3      9      1      2      9      9      6      3      2      6      10     4      2      6      
Vardas5422     Pavarde5422    2      7      2      9      1      8      1      5      6      5      3      2      1      3      1      8      
Vardas5423     Pavarde5423    4      7      5      5      5      8      2      1      1      10     0      0      2      0      1      7      
Vardas5424     Pavarde5424    2      9      3      1      10     5      7      10     1      1      9      9      6      5      0      4      
Vardas5425     Pavarde5425    2      6      1      5      6      8      9      10     3      6      4      2      0      10     10     8      
Vardas5426     Pavarde5426    3      8      6      8      3      3      2      6      6      10     10     6      7      1      5      3      
Vardas5427     Pavarde5427    4      1      0      4      1      7      8      4      3      6      3      10     4      1      6      0      
Vardas5428     Pavarde5428    6      3      1      6      2      8      0      2      5      1      1      8      10     1      4      8      
Vardas5429     Pavarde5429    0      5      10     0      4      6      0      9      4      4      3      8      2      6      9      9      
Vardas5430     Pavarde5430    9      7      5      5      4      0      5      7      5      2      10     7      4      1      6      10     
Vardas5431     Pavarde5431    2      4      5      6      0      1      9      8      0      2      1      10     5      2      2      0      
Vardas5432     Pavarde5432    6      2      1      7      1      8      1      0      9      8      2      3      4      3      10     1      
Vardas5433     Pavarde5433    7      7      5      5      1      4      5      7      6      2      10     1      9      8      0      4      
Vardas5434     Pavarde5434    7      2      10     7      0      7      2      2      8      2      9      0      10     2      8      2      
Vardas5435     Pavarde5435    9      4      7      10     1      2      4      7      1      3      0      8      8      1      3      2      
Vardas5436     Pavarde5436    4      8      10     4      9      8      0      0      7      6      0      10     3      1      0      4      
Vardas5437     Pavarde5437    6      6      10     0      10     2      1      3      4      6      6      4      3      7      2      8      
Vardas5438     Pavarde5438    8      10     9      9      8      8      7      9      8      5      9      0      4      2      6      0      
Vardas5439     Pavarde5439    6      10     10     0      6      4      5      8      3      5      8      8      2      3      1      9      
Vardas5440     Pavarde5440    5      1      0      3      5      10     0      3      3      3      0      6      6      10     1      10     
Vardas5441     Pavarde5441    6      2      0      5      5      7      10     1      5      0      0      4      3      5      4      10     
Vardas5442     Pavarde5442    4      2      4      10     6      0      1      10     1      8      0      4      2      2      8      5      
Vardas5443     Pavarde5443    8      1      7      9      0      0      9      1      5      6      3      6      3      10     5      7      
Vardas5444     Pavarde5444    4      9      9      9      6      4      3      9      6      5      5      9      2      6      1      7      
Vardas5445     Pavarde5445    10     7      3      8      1      5      8      7      7      10     7      6      2      1      2      6      
Vardas5446     Pavarde5446    10     2      10     3      0      9      8      6      4      5      10     5      10     4      10     10     
Vardas5447     Pavarde5447    9      3      3      2      0      4      0      6      0      10     5      0      9      6      0      1      
Vardas5448     Pavarde5448    9      9      3      0      9      4      0      7      9      2      7      9      10     3      2      0      
Vardas5449     Pavarde5449    0      3      1      0      4      1      6      9      3      9      9      4      6      6      6      2      
Vardas5450     Pavarde5450    4      9      0      6      1      10     7      3      6      9      5      4      2      0      2      10     
Vardas5451     Pavarde5451    1      9      7      10     5      8      5      4      7      7      1      7      2      3      9      0      
Vardas5452     Pavarde5452    9      10     10     4      9      8      1      7      8      0      6      6      3      10     4      0      
Vardas5453     Pavarde5453    7      2      8      0      8      3      2      4      4      0      7      7      2      3      10     2      
Vardas5454     Pavarde5454    10     5      6      5      8      10     8      4      1      9      10     6      4      2      10     4      
Vardas5455     Pavarde5455    1      4      2      9      8      8      1      7      0      5      5      7      0      7      10     7      
Vardas5456     Pavarde5456    7      0      9      8      9      5      3      4      3      7      0      7      3      3      5      8      
Vardas5457     Pavarde5457    10     9      3      7      2      9      5      5      5      3      4      2      7      2      6      4      
Vardas5458     Pavarde5458    6      8      0      7      8      7      9      10     2      1      8      9      1      0      0      6      
Vardas5459     Pavarde5459    5      10     10     7      9      3      4      0      10     5      9      6      10     2      6      10     
Vardas5460     Pavarde5460    2      1      7      7      1      0      1      3      5      5      9      3      10     9      4      8      
Vardas5461     Pavarde5461    7      8      1      10     4      9      9      5      3      6      7      10     1      3      6      2      
Vardas5462     Pavarde5462    2      5      1      9      1      1      4      8      5      9      1      6      6      2      3      2      
Vardas5463     Pavarde5463    9      10     4      7      7      3      0      9      2      0      4      1      5      10     0      8      
Vardas5464     Pavarde5464    4      6      2      6      6      9      5      10     7      8      7      4      2      10     10     1      
Vardas5465     Pavarde5465    8      8      0      9      7      0      2      9      5      5      6      5      2      9      5      1      
Vardas5466     Pavarde5466    1      10     4      8      2      6      4      2      10     3      8      3      6      2      3      0      
Vardas5467     Pavarde5467    3      2      3      5      5      8      6      5      2      6      1      2      5      2      2      4      
Vardas5468     Pavarde5468    3      0      7      5      7      5      7      1      10     1      8      2      4      2      9      2      
Vardas5469     Pavarde5469    6      9      5      5      0      2      8      6      3      8      10     9      9      4      6      9      
Vardas5470     Pavarde5470    2      7      7      6      2      7      8      8      7      0      9      9      6      4      5      7      
Vardas5471     Pavarde5471    2      8      5      10     9      4      8      8      9      0      2      2      1      1      2      6      
Vardas5472     Pavarde5472    3      5      7      6      9      10     7      0      3      6      7      5      10     8      9      4      
Vardas5473     Pavarde5473    6      10     6      9      3      5      2      4      8      1      3      8      9      1      3      7      
Vardas5474     Pavarde5474    1      0      8      8      9      7      10     1      1      4      5      10     8      9      0      2      
Vardas5475     Pavarde5475    3      9      2      7      4      9      1      3      3      9      10     10     1      7      6      0      
Vardas5476     Pavarde5476    0      10     4      9      8      4      6      5      0      2      5      5      9      5      3      10     
Vardas5477     Pavarde5477    9      1      1      0      6      8      5      10     4      1      9      7      2      1      1      2      
Vardas5478     Pavarde5478    1      5      4      7      5      9      3      8      5      0      8      2      7      9      10     5      
Vardas5479     Pavarde5479    6      9      0      1      2      9      4      10     0      10     6      8      6      1      7      9      
Vardas5480     Pavarde5480    3      1      4      5      6      5      9      2      10     1      7      2      8      1      3      2      
Vardas5481     Pavarde5481    0      1      8      10     8      10     8      4      10     8      1      6      10     7      7      6      
Vardas5482     Pavarde5482    1      4      9      7      9      4      4      0      6      10     4      8      8      0      1      6      
Vardas5483     Pavarde5483    10     6      0      4      6      2      5      5      5      5      3      10     8      2      2      6      
Vardas5484     Pavarde5484    5      5      10     2      2      6      8      7      4      10     4      10     8      2      2      0      
Vardas5485     Pavarde5485    3      10     1      5      4      8      9      4      8      4      5      6      6      6      4      10     
Vardas5486     Pavarde5486    0      6      9      2      8      3      3      5      5      6      5      10     0      1      5      1      
Vardas5487     Pavarde5487    5      1      5      6      5      9      2      8      6      6      3      8      3      6      1      7      
Vardas5488     Pavarde5488    5      10     3      5      1      8      6      2      3      2      1      0      0      10     8      7      
Vardas5489     Pavarde5489    5      5      9      10     9      8      7      0      6      1      8      5      2      4      9      10     
Vardas5490     Pavarde5490    4      7      2      9      2      9      5      1      10     3      4      6      0      10     10     6      
Vardas5491     Pavarde5491    10     1      1      2      1      3      4      8      0      1      3      0      10     2      0      9      
Vardas5492     Pavarde5492    6      0      8      6      5      2      1      10     10     8      10     4      5      6      1      1      
Vardas5493     Pavarde5493    10     3      8      9      10     3      1      8      4      8      6      1      7      0      2      9      
Vardas5494     Pavarde5494    2      9      2      5      7      6      0      7      0      3      8      7      9      8      8      2      
Vardas5495     Pavarde5495    5      7      3      10     7      2      7      1      8      6      2      2      5      3      8      9      
Vardas5496     Pavarde5496    1      3      10     3      9      3      10     10     5      2      2      5      1      10     1      2      
Vardas5497     Pavarde5497    4      2      7      8      6      5      0      10     2      10     10     10     7      7      1      2      
Vardas5498     Pavarde5498    10     10     10     7      5      0      5      7      5      1      5      1      2      5      8      7      
Vardas5499     Pavarde5499    1      0      10     2      7      3      7      8      9      0      9      0      1      2      4      1      
Vardas5500     Pavarde5500    4      5      9      6      0      2      7      10     4      7      0      3      3      1      1      1      
Vardas5501     Pavarde5501    4      7      1      7      7      9      0      10     9      4      7      1      5      3      2      5      
Vardas5502     Pavarde5502    6      3      7      3      3      1      4      8      8      1      8      4      0      5      9      1      
Vardas5503     Pavarde5503    10     7      10     1      8      0      0      7      10     9      7      3      2      1      2      0      
Vardas5504     Pavarde5504    0      5      4      10     5      4      3      1      5      3      0      2      10     1      3      9      
Vardas5505     Pavarde5505    4      5      8      3      4      8      3      8      3      4      4      1      6      8      1      8      
Vardas5506     Pavarde5506    8      0      7      8      9      9      0      10     5      5      3      5      7      2      7      4      
Vardas5507     Pavarde5507    6      10     1      9      10     0      9      3      4      8      9      2      4      0      8      6      
Vardas5508     Pavarde5508    6      9      9      1      8      9      4      10     5      7      1      1      7      2      3      10     
Vardas5509     Pavarde5509    2      0      9      4      3      4      1      2      4      4      4      6      4      5      3      8      
Vardas5510     Pavarde5510    9      10     6      2      2      3      1      7      2      2      8      6      3      7      0      3      
Vardas5511     Pavarde5511    5      7      1      2      4      0      7      8      5      9      2      9      3      0      6      8      
Vardas5512     Pavarde5512    6      1      4      0      8      3      0      0      10     2      3      7      8      7      5      1      
Vardas5513     Pavarde5513    6      10     7      10     2      10     8      5      3      2      0      0      8      6      10     7      
Vardas5514     Pavarde5514    0      10     3      9      2      8      0      1      0      10     9      4      2      7      10     10     
Vardas5515     Pavarde5515    4      10     2      2      8      8      6      10     3      0      9      2      3      3      9      7      
Vardas5516     Pavarde5516    2      2      3      0      0      5      10     8      6      0      5      1      1      1      2      3      
Vardas5517     Pavarde5517    6      5      8      8      5      6      7      8      1      9      6      6      10     9      7      6      
Vardas5518     Pavarde5518    7      9      2      5      4      5      6      5      0      7      10     0      4      6      2      7      
Vardas5519     Pavarde5519    4      4      7      7      8      3      9      7      4      5      10     7      5      1      10     1      
Vardas5520     Pavarde5520    6      4      2      4      2      2      5      3      3      3      5      0      3      9      6      10     
Vardas5521     Pavarde5521    9      4      9      8      2      3      6      6      4      2      0      8      3      6      7      1      
Vardas5522     Pavarde5522    2      10     1      9      0      8      8      6      2      7      2      4      3      10     10     5      
Vardas5523     Pavarde5523    10     9      6      7      10     9      10     9      8      10     0      0      8      10     7      2      
Vardas5524     Pavarde5524    7      6      4      0      10     9      9      3      4      4      6      8      7      2      10     4      
Vardas5525     Pavarde5525    5      9      8      7      7      0      0      10     9      0      1      7      10     5      4      0      
Vardas5526     Pavarde5526    8      10     1      4      2      0      3      4      8      10     2      2      10     4      10     7      
Vardas5527     Pavarde5527    3      3      0      6      6      9      9      5      0      3      10     2      7      10     3      0      
Vardas5528     Pavarde5528    0      1      3      7      4      3      1      9      3      7      9      4      2      1      0      8      
Vardas5529     Pavarde5529    1      5      3      6      3      0      10     6      6      1      0      6      4      8      1      4      
Vardas5530     Pavarde5530    9      4      3      9      5      2      2      4      3      2      8      7      2      1      10     5      
Vardas5531     Pavarde5531    2      0      1      5      9      5      1      8      10     9      7      10     4      3      1      9      
Vardas5532     Pavarde5532    3      9      6      2      9      4      1      0      7      1      9      5      4      5      3      4      
Vardas5533     Pavarde5533    5      5      0      3      7      7      7      7      9      8      1      8      10     5      8      0      
Vardas5534     Pavarde5534    10     0      0      7      0      4      10     0      6      0      3      8      8      6      10     10     
Vardas5535     Pavarde5535    6      3      7      8      10     1      2      8      4      5      3      5      9      2      6      0      
Vardas5536     Pavarde5536    0      3      8      9      4      6      3      6      1      6      10     8      8      9      0      2      
Vardas5537     Pavarde5537    9      7      6      8      8      7      7      4      8      2      7      5      4      8      10     10     
Vardas5538     Pavarde5538    9      9      5      2      8      10     0      0      3      10     10     6      5      8      0      8      
Vardas5539     Pavarde5539    2      0      5      8      0      9      1      2      7      1      9      6      2      2      1      10     
Vardas5540     Pavarde5540    2      6      5      10     7      10     2      5      4      2      8      10     0      7      2      5      
Vardas5541     Pavarde5541    7      9      10     5      3      8      2      0      8      7      9      3      0      2      4      4      
Vardas5542     Pavarde5542    5      3      3      7      6      3      4      3      8      4      3      7      4      2      8      7      
Vardas5543     Pavarde5543    8      6      6      5      10     10     6      8      7      2      5      5      4      2      9      0      
Vardas5544     Pavarde5544    3      5      10     3      7      2      1      9      5      9      8      9      4      7      4      10     
Vardas5545     Pavarde5545    8      2      10     9      5      8      1      9      0      2      3      9      6      5      2      0      
Vardas5546     Pavarde5546    0      6      4      4      8      8      0      10     8      10     3      7      6      8      1      2      
Vardas5547     Pavarde5547    8      0      2      9      0      5      6      8      2      0      4      5      1      4      5      8      
Vardas5548     Pavarde5548    3      2      7      6      3      2      1      10     7      6      9      7      1      9      10     9      
Vardas5549     Pavarde5549    2      0      5      4      8      1      6      9      2      3      4      7      8      9      0      9      
Vardas5550     Pavarde5550    1      10     6      10     8      6      10     2      5      0      4      10     4      6      4      5      
Vardas5551     Pavarde5551    10     6      1      10     6      6      1      6      5      1      8      7      6      3      9      2      
Vardas5552     Pavarde5552    9      10     0      1      10     8      8      2      6      9      6      6      10     9      3      8      
Vardas5553     Pavarde5553    8      6      0      9      10     2      0      5      6      7      6      4      9      10     3      5      
Vardas5554     Pavarde5554    6      6      5      9      9      6      6      1      9      6      1      8      7      0      0      0      
Vardas5555     Pavarde5555    1      10     9      2      0      10     4      0      7      6      9      0      2      8      8      10     
Vardas5556     Pavarde5556    7      5      7      6      0      8      4      2      1      9      6      1      10     5      3      5      
Vardas5557     Pavarde5557    10     1      8      7      0      6      0      3      2      0      0      0      0      2      10     5      
Vardas5558     Pavarde5558    5      6      10     10     7      9      4      7      6      2      4      5      3      8      5      3      
Vardas5559     Pavarde5559    2      8      8      4      10     0      6      0      3      4      1      10     7      7      1      10     
Vardas5560     Pavarde5560    3      4      0      5      3      0      5      10     10     9      1      5      4      7      8      8      
Vardas5561     Pavarde5561    1      2      4      1      4      7      6      9      8      4      1      7      3      9      6      0      
Vardas5562     Pavarde5562    3      2      8      5      2      4      4      9      8      4      7      3      0      6      4      4      
Vardas5563     Pavarde5563    3      4      1      0      4      4      1      7      6      3      0      8      8      6      6      1      
Vardas5564     Pavarde5564    1      9      0      1      3      8      10     2      9      3      8      1      4      3      9      3      
Vardas5565     Pavarde5565    1      1      9      7      9      5      8      5      5      1      4      3      6      3      4      3      
Vardas5566     Pavarde5566    7      9      8      3      10     1      4      1      6      6      3      3      8      1      4      6      
Vardas5567     Pavarde5567    5      3      0      8      10     3      2      3      6      7      4      2      5      5      8      1      
Vardas5568     Pavarde5568    1      6      8      0      0      0      1      1      8      5      2      4      10     8      3      4      
Vardas5569     Pavarde5569    1      3      0      10     9      8      3      2      5      3      9      7      10     4      7      0      
Vardas5570     Pavarde5570    8      7      4      9      6      8      8      2      10     9      5      0      1      1      0      7      
Vardas5571     Pavarde5571    5      9      5      2      1      0      7      10     2      2      3      6      4      5      10     2      
Vardas5572     Pavarde5572    10     9      7      8      6      5      9      8      0      0      9      6      7      6      4      6      
Vardas5573     Pavarde5573    3      6      5      10     3      1      10     5      10     8      9      8      8      5      0      7      
Vardas5574     Pavarde5574    0      7      8      7      8      1      6      3      3      8      6      5      10     3      8      3      
Vardas5575     Pavarde5575    5      10     5      0      7      3      4      6      9      7      1      0      10     8      1      4      
Vardas5576     Pavarde5576    7      10     10     10     6      1      6      8      4      7      10     4      8      7      8      10     
Vardas5577     Pavarde5577    7      2      2      6      3      5      1      5      4      6      1      2      0      1      1      7      
Vardas5578     Pavarde5578    3      3      8      2      5      10     5      8      0      1      4      4      1      5      7      3      
Vardas5579     Pavarde5579    6      7      10     0      9      4      7      8      8      9      4      5      3      6      9      2      
Vardas5580     Pavarde5580    10     7      3      0      6      9      8      6      10     10     6      6      4      10     0      5      
Vardas5581     Pavarde5581    0      6      9      7      9      1      9      1      8      0      7      2      2      3      6      3      
Vardas5582     Pavarde5582    10     7      8      4      0      6      10     7      9      9      6      3      2      8      1      2      
Vardas5583     Pavarde5583    8      1      1      7      6      7      1      8      0      1      3      3      0      4      2      3      
Vardas5584     Pavarde5584    2      1      6      0      10     10     4      7      6      7      3      9      6      3      10     8      
Vardas5585     Pavarde5585    1      1      0      3      9      7      3      7      8      10     4      4      4      10     1      9      
Vardas5586     Pavarde5586    1      3      9      6      3      5      9      3      2      2      5      4      10     7      1      0      
Vardas5587     Pavarde5587    8      5      2      10     0      10     2      2      0      9      0      10     8      9      0      3      
Vardas5588     Pavarde5588    9      3      9      10     0      10     10     10     2      6      0      9      10     2      1      10     
Vardas5589     Pavarde5589    8      0      1      7      9      1      1      7      3      3      9      5      7      0      6      7      
Vardas5590     Pavarde5590    7      9      5      0      6      7      8      2      2      6      4      10     7      5      3      3      
Vardas5591     Pavarde5591    1      5      2      7      0      7      3      2      10     4      1      1      8      3      3      8      
Vardas5592     Pavarde5592    8      8      6      3      2      2      5      5      10     10     8      6      2      7      10     4      
Vardas5593     Pavarde5593    6      5      3      8      2      9      4      2      7      5      4      0      7      3      5      3      
Vardas5594     Pavarde5594    3      6      9      9      0      3      7      10     4      4      8      1      7      8      0      0      
Vardas5595     Pavarde5595    7      1      4      5      8      6      5      10     2      9      10     7      0      10     5      4      
Vardas5596     Pavarde5596    7      8      5      5      3      7      8      2      9      3      2      1      10     2      5      10     
Vardas5597     Pavarde5597    0      3      7      7      6      7      3      7      5      10     3      8      1      5      8      10     
Vardas5598     Pavarde5598    8      9      5      10     2      0      2      1      1      1      5      7      4      8      1      9      
Vardas5599     Pavarde5599    7      2      6      4      4      2      10     6      4      2      10     8      4      3      3      4      
Vardas5600     Pavarde5600    3      9      7      4      1      10     5      9      9      3      2      1      10     4      6      4      
Vardas5601     Pavarde5601    4      5      9      2      10     2      10     0      5      9      1      0      3      8      6      0      
Vardas5602     Pavarde5602    10     1      4      9      1      7      3      8      6      9      4      2      3      1      7      3      
Vardas5603     Pavarde5603    0      9      10     4      3      10     10     10     3      1      8      0      8      10     10     8      
Vardas5604     Pavarde5604    6      3      7      4      5      5      3      0      1      3      4      1      9      5      7      0      
Vardas5605     Pavarde5605    2      2      8      4      4      8      3      4      9      2      0      6      4      7      3      4      
Vardas5606     Pavarde5606    3      10     3      6      7      6      3      10     10     10     2      2      1      6      10     4      
Vardas5607     Pavarde5607    10     6      10     2      10     0      4      3      0      2      1      1      8      9      5      5      
Vardas5608     Pavarde5608    3      9      4      7      1      10     8      5      9      7      9      5      4      7      8      6      
Vardas5609     Pavarde5609    8      9      2      4      4      4      2      0      6      0      5      10     0      0      7      1      
Vardas5610     Pavarde5610    3      4      5      7      9      8      10     4      10     7      8      0      5      5      4      7      
Vardas5611     Pavarde5611    7      2      9      3      9      3      10     3      7      3      9      4      6      0      2      7      
Vardas5612     Pavarde5612    3      10     4      0      6      9      1      9      1      10     10     5      10     8      0      7      
Vardas5613     Pavarde5613    5      10     10     10     7      4      4      5      9      0      1      2      2      8      6      8      
Vardas5614     Pavarde5614    6      9      3      3      3      5      6      5      1      6      8      8      10     9      7      10     
Vardas5615     Pavarde5615    2      1      5      5      1      2      10     5      5      7      0      7      1      1      5      7      
Vardas5616     Pavarde5616    9      6      7      10     9      2      4      5      0      4      3      4      3      0      1      1      
Vardas5617     Pavarde5617    8      1      9      3      1      7      5      1      6      8      4      6      1      9      2      4      
Vardas5618     Pavarde5618    9      2      5      2      7      0      4      6      10     1      7      3      2      10     2      7      
Vardas5619     Pavarde5619    10     8      10     4      3      0      8      0      4      4      7      10     3      8      1      0      
Vardas5620     Pavarde5620    4      7      9      8      9      3      1      3      10     2      2      1      0      10     7      3      
Vardas5621     Pavarde5621    4      1      7      1      9      10     8      1      2      9      3      1      0      4      2      1      
Vardas5622     Pavarde5622    6      6      4      6      8      1      4      0      4      2      8      2      5      0      3      6      
Vardas5623     Pavarde5623    3      10     10     6      6      6      5      2      6      9      3      6      0      7      1      9      
Vardas5624     Pavarde5624    6      9      2      5      7      10     2      5      6      1      7      0      5      8      8      4      
Vardas5625     Pavarde5625    5      5      4      3      1      0      7      5      5      0      1      2      4      6      4      7      
Vardas5626     Pavarde5626    1      4      4      2      7      4      0      3      6      7      2      1      1      7      7      6      
Vardas5627     Pavarde5627    5      0      9      6      0      4      0      10     3      4      4      3      0      1      1      8      
Vardas5628     Pavarde5628    8      0      3      5      9      2      2      7      9      0      5      7      6      4      5      8      
Vardas5629     Pavarde5629    0      3      2      5      8      3      4      9      9      0      2      5      2      0      3      1      
Vardas5630     Pavarde5630    2      2      1      4      1      4      4      2      10     0      1      0      10     1      3      1      
Vardas5631     Pavarde5631    9      5      8      3      5      3      0      10     1      0      8      2      2      6      6      5      
Vardas5632     Pavarde5632    1      1      2      5      8      3      9      0      10     6      9      9      3      6      5      1      
Vardas5633     Pavarde5633    1      1      7      0      2      9      7      8      8      7      4      5      10     3      4      9      
Vardas5634     Pavarde5634    10     9      10     3      0      10     6      7      2      4      0      5      0      0      0      2      
Vardas5635     Pavarde5635    2      8      6      2      2      8      4      5      8      6      10     4      8      7      8      4      
Vardas5636     Pavarde5636    10     1      1      3      4      0      2      9      7      9      3      1      1      10     10     4      
Vardas5637     Pavarde5637    8      1      5      5      7      5      7      0      4      6      6      4      3      2      7      2      
Vardas5638     Pavarde5638    8      1      3      5      10     5      8      7      2      0      7      5      9      2      4      8      
Vardas5639     Pavarde5639    3      5      0      4      10     9      10     3      5      8      3      4      7      6      6      8      
Vardas5640     Pavarde5640    7      4      4      0      3      9      5      3      9      7      4      7      0      7      6      10     
Vardas5641     Pavarde5641    4      8      0      0      1      2      8      5      3      6      9      0      2      6      10     7      
Vardas5642     Pavarde5642    4      10     6      5      2      2      5      2      4      9      3      10     2      9      5      6      
Vardas5643     Pavarde5643    2      1      5      5      2      5      7      3      0      10     4      3      2      6      1      9      
Vardas5644     Pavarde5644    1      6      1      7      7      4      10     6      5      5      8      9      5      5      4      6      
Vardas5645     Pavarde5645    8      2      8      4      6      1      1      6      1      1      7      0      7      6      5      3      
Vardas5646     Pavarde5646    3      3      3      5      3      5      0      7      1      6      3      0      7      2      8      2      
Vardas5647     Pavarde5647    4      7      1      1      4      8      9      4      0      0      8      0      2      9      3      9      
Vardas5648     Pavarde5648    5      6      1      7      8      5      8      0      4      10     10     1      2      0      3      0      
Vardas5649     Pavarde5649    9      8      8      1      10     3      6      10     4      1      0      8      4      7      1      1      
Vardas5650     Pavarde5650    1      10     4      9      10     8      8      3      9      7      2      5      4      8      4      7      
Vardas5651     Pavarde5651    7      10     1      7      5      0      4      7      7      8      9      0      5      9      0      6      
Vardas5652     Pavarde5652    4      8      5      7      3      3      5      6      5      9      6      9      7      2      4      9      
Vardas5653     Pavarde5653    5      6      7      6      10     3      0      2      4      8      1      10     3      0      5      8      
Vardas5654     Pavarde5654    5      8      1      8      5      9      1      9      6      7      2      0      7      7      2      10     
Vardas5655     Pavarde5655    4      7      9      4      4      9      1      1      10     1      7      2      8      5      0      10     
Vardas5656     Pavarde5656    2      6      4      0      9      0      2      10     3      1      5      4      9      9      6      0      
Vardas5657     Pavarde5657    5      7      8      6      10     0      6      2      8      0      6      6      6      5      0      6      
Vardas5658     Pavarde5658    6      3      0      10     3      0      3      0      3      9      6      5      3      10     10     8      
Vardas5659     Pavarde5659    5      3      10     10     5      10     6      2      10     1      6      3      2      10     1      0      
Vardas5660     Pavarde5660    7      5      4      6      9      8      9      2      3      0      1      9      0      5      2      1      
Vardas5661     Pavarde5661    7      1      4      7      4      4      9      7      10     4      5      7      5      6      8      1      
Vardas5662     Pavarde5662    4      3      1      10     3      9      10     5      7      2      1      0      4      9      6      5      
Vardas5663     Pavarde5663    4      2      6      2      6      8      8      4      10     9      7      4      2      8      0      8      
